target_time,Time,sea_surface_wave_mean_period_s,sea_surface_wave_significant_height_m,sea_surface_wave_from_direction_degree,wind_from_direction_degree,wind_speed_m_s_1,time_diff_minutes
2022-09-01 07:40:16,2022-09-01 07:40:00,7.147,1.615,305.2,307.4,9.24,0.26666666666666666
2022-09-01 11:25:03,2022-09-01 11:20:00,5.935,0.961,303.7,310.1,5.14,5.05
2022-09-02 10:30:16,2022-09-02 10:40:00,3.445,0.316,320.1,220.3,9.95,9.733333333333333
2022-09-05 07:50:16,2022-09-05 08:00:00,3.288,0.143,314.5,349.1,5.824,9.733333333333333
2022-09-11 08:40:15,2022-09-11 08:40:00,3.912,0.298,321.3,207.7,9.38,0.25
2022-09-13 10:30:15,2022-09-13 10:40:00,5.543,0.711,350.6,182.1,6.215,9.75
2022-09-14 11:10:16,2022-09-14 11:20:00,4.496,0.859,330.2,293.5,10.61,9.733333333333333
2022-09-14 13:50:16,2022-09-14 14:00:00,5.131,1.217,334.0,291.6,10.3,9.733333333333333
2022-09-18 15:50:15,2022-09-18 16:00:00,4.283,0.638,342.9,223.8,10.0,9.75
2022-09-19 18:23:10,2022-09-19 18:20:00,5.01,1.006,331.3,298.5,10.69,3.1666666666666665
2022-09-20 15:50:15,2022-09-20 16:00:00,4.248,0.511,200.7,258.1,7.357,9.75
2022-09-22 16:43:03,2022-09-22 16:40:00,7.489,1.986,316.5,316.7,13.26,3.05
2022-09-23 07:30:16,2022-09-23 07:40:00,6.898,1.283,293.2,344.7,8.11,9.733333333333333
